60.240.65.213 - - [10/Feb/2011:04:59:23 -0500] "GET /templating-enlive" 200 - "http://www.google.com.au/url?sa=t&source=web&cd=9&ved=0CFAQFjAI&url=http%3A%2F%2Flispnyc.org%2Fblog%2Fheow%2Ftemplating-enlive&rct=j&q=enlive%20id%20selector&ei=zLtTTeiTF9CPcaGZ7b0J&usg=AFQjCNHtKZXfAxxb3B7PdnQqvJUoyfEFxQ&sig2=f9i9m3-QlkqfsmmJQiW2HA&cad=rja" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-us) AppleWebKit/533.19.4 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4"
67.195.114.220 - - [10/Feb/2011:07:23:46 -0500] "GET /replyToBlogEntry.action?entry=1294763820000" 200 - - "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
66.249.71.247 - - [10/Feb/2011:11:11:03 -0500] "GET /2011/02/03" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.71.247 - - [10/Feb/2011:11:53:32 -0500] "GET /authors/heow/" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
50.7.249.42 - - [10/Feb/2011:12:09:34 -0500] "GET /" 200 - "http://lispnyc.org/blog/euske/" "Mozilla/5.0 (X11; U; Linux i686; en; rv:1.9.2.13) Gecko/20101203 SUSE/3.6.13-0.2.1 Firefox/3.6.13"
66.249.71.247 - - [10/Feb/2011:13:07:15 -0500] "GET /2011/02/10" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.71.247 - - [10/Feb/2011:15:03:38 -0500] "GET /2011/02/03" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.71.247 - - [10/Feb/2011:16:12:53 -0500] "GET /2011/02/09" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.71.247 - - [10/Feb/2011:18:30:14 -0500] "GET /2011/02/09" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
